D
      45  '2020/12/18'     90       112     
       60  '2020/12/19'    103       123     323.0
      45  '2020/12/20'     97       125     243.0
       60  '2020/12/21'    108       131     364.2
      45                  100       119     282.0
       60  '2020/12/23'    130       101     300.0
       45  '2020/12/24'    105       132     246.0
       60  '2020/12/25'    102       126     334.5
      60    2020/12/26    100       120     250.0
        60  '2020/12/27'     92       118     241.0
        60  '2020/12/28'    103       132     130.0
        60  '2020/12/29'    100       132     280.0
        60  '2020/12/30'    102       129     380.3
        60  '2020/12/31'     92       115     243.0

